title,company,location,salary,experience,link,description,skills,location,salary,experience,link,description,skills
Python Developer - RESTful Webservices,Career Infosystem,Bangalore/Bengaluru,Not disclosed,5-8 Yrs,https://www.naukri.com/job-listings-python-developer-restful-webservices-career-infosystem-bangalore-bengaluru-5-to-8-years-230223909834,"PFB Job details :- 5+ years of experience in software architecture, system design & dev...","System Design,OOAD,RESTful Webservices,design,python,development,web services,system",,,,,,
Python Developer,Search Advisers Services Guj,Bangalore/Bengaluru,15-30 Lacs PA,6-11 Yrs,https://www.naukri.com/job-listings-python-developer-search-advisers-services-guj-bangalore-bengaluru-6-to-11-years-080523002220,Requirements and Skills. You should be an engineering graduate preferably from a comput...,"Microsoft Azure,microsoft,java,python development,docker,git,python,spark",,,,,,
Python Developer,What Digital Technologies,Bangalore/Bengaluru(Shivaji Nagar),Not disclosed,5-10 Yrs,https://www.naukri.com/job-listings-python-developer-what-digital-technologies-bangalore-bengaluru-5-to-10-years-050523007361,What personal characteristics should I have? You must have strong adaptive skills and c...,"Python Web Framework,Python Development,python programmer,python framework,javascript,web framework,front,django",,,,,,
Python  Developer,L A Consultancy,"Kochi/Cochin, Pune, Chennai, Bangalore/Bengaluru",Not disclosed,5-10 Yrs,https://www.naukri.com/job-listings-python-developer-l-a-consultancy-kochi-cochin-pune-chennai-bangalore-bengaluru-5-to-10-years-040523908968,BE|MCA candidates having 5 to 10 years of project working experience in Python Programm...,"Pytorch,Tensorflow,Algorithms,web technologies,development,helm,web services,python development",,,,,,
Python Developer,Propmo Services,"Mumbai, Bangalore/Bengaluru",Not disclosed,3-7 Yrs,https://www.naukri.com/job-listings-python-developer-propmo-services-mumbai-bangalore-bengaluru-3-to-7-years-040523908244,Proven experience on design and implementation of the overall web and database architec...,"Python,react.js,scalability,development,css,flask,continuous integration,web technologies",,,,,,
Python Developer,Experis,Bangalore/Bengaluru,6-13 Lacs PA,4-9 Yrs,https://www.naukri.com/job-listings-python-developer-experis-bangalore-bengaluru-4-to-9-years-250423010362,Relevant Experience in PYTHON DEVELOPER - . Ready for WORK FROM OFFICE (HYBRID MODE) -....,"PSS,python,API,ODMS,SQL,development,python development",,,,,,
"BMC ,Python Developer",Career Network,Temp. WFH - Bangalore/Bengaluru,Not disclosed,3-8 Yrs,https://www.naukri.com/job-listings-bmc-python-developer-career-network-bangalore-bengaluru-3-to-8-years-100423003963,8 years of system software development experience using any of the following programmin...,"Linux,Python,python development,bmc,development",,,,,,
Python Developer - Microservices Architecture,L A Consultancy,"Kochi/Cochin, Pune, Chennai, Bangalore/Bengaluru",Not disclosed,5-10 Yrs,https://www.naukri.com/job-listings-python-developer-microservices-architecture-l-a-consultancy-kochi-cochin-pune-chennai-bangalore-bengaluru-5-to-10-years-271222911291,"backlogs, iterations, user stories, rally tool etc). - Experience of API Management. . ...","Microservices Architecture,python,python development,modeling,deep learning,architecture,jquery,tensorflow",,,,,,
Python Developer,Talodyn Networks,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Not disclosed,5-8 Yrs,https://www.naukri.com/job-listings-python-developer-talodyn-networks-hyderabad-secunderabad-bangalore-bengaluru-5-to-8-years-250423007259,"Any graduation Roles and Responsibilities . Hands-on experience in Python, Django / Fla...","Python framework,API,Pyton developer,python,development,flask,django,pyton",,,,,,
Python developer,Diverse Lynx,Chennai,Not disclosed,2-6 Yrs,https://www.naukri.com/job-listings-python-developer-diverse-lynx-chennai-2-to-6-years-200722502059,1) Strong knowledge on Java and Linux. 2) Good to have shell scripting/python knowledge...,"ansible,IBM bus,Linux,shell scripting,python,Java,IT Skills",,,,,,
Python Developer,Diverse Lynx,Mumbai,Not disclosed,2-6 Yrs,https://www.naukri.com/job-listings-python-developer-diverse-lynx-mumbai-2-to-6-years-180822501194,"Python frameworks like Django, Flask, etc. Web frameworks and RESTful APIs Core Python ...","Web frameworks,Core,Python,Django,Flask,RESTful APIs,SVN,Git",,,,,,
Python Developers,Diverse Lynx,Pune,Not disclosed,2-6 Yrs,https://www.naukri.com/job-listings-python-developers-diverse-lynx-pune-2-to-6-years-180320501294,Python Developers- We need an Python resource with expertise in Django framework. Yrs o...,"IT Skills,Python,Django,Developer",,,,,,
Python Software Developer,Altvu,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",15-30 Lacs PA,5-10 Yrs,https://www.naukri.com/job-listings-python-software-developer-altvu-hyderabad-secunderabad-chennai-bangalore-bengaluru-5-to-10-years-110523010222,Python & Object-Oriented Programming Web scraping using Python libraries Data analysis ...,"Python,microservices,python microservices,python development,python framework,data analytics,development,jinja 2",,,,,,
Python Software Developer,Krazy Mantra,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",6-11 Lacs PA,5-7 Yrs,https://www.naukri.com/job-listings-python-software-developer-krazy-mantra-hyderabad-secunderabad-chennai-bangalore-bengaluru-5-to-7-years-080523002536,Should be able to guide the team and solve the technical issues Experience : 5-7 years ...,"Data Science,Azure Cloud,Good Comm Skills,Analytics,Python,development,cloud,comm",,,,,,
Senior Software Developer (Python with AWS),Guidant Technology And Media Llp,Remote,Not disclosed,8-13 Yrs,https://www.naukri.com/job-listings-senior-software-developer-python-with-aws-guidant-technology-and-media-llp-bangalore-bengaluru-8-to-13-years-010523004347,Help product team with consulting and executing changes needed on their applications re...,"AWS,Python,development,senior,software development,software",,,,,,
Python Developer,Enterslice,Noida,Not disclosed,3-8 Yrs,https://www.naukri.com/job-listings-python-developer-enterslice-ites-private-limited-noida-3-to-8-years-230323502376,Actively contributes to team activities and goals using effective verbal and interperso...,"development,middleware,j2ee,agile,javascript,python,application,postgresql",,,,,,
Python Developer (Mid Level),Capestart Software,Chennai,Not disclosed,3-5 Yrs,https://www.naukri.com/job-listings-python-developer-mid-level-capestart-software-private-limited-chennai-3-to-5-years-220323500791,"Bachelors degree in computer science, computer engineering, or related field Ability to...","development,python,backend,programming,front,program,testing tools,debugging",,,,,,
Python Developer,Ezops,"Noida, New Delhi, Chennai",Not disclosed,4-6 Yrs,https://www.naukri.com/job-listings-python-developer-ezops-noida-new-delhi-chennai-4-to-6-years-010523500955,- At least 4 years of experience in application development (Internship experience does...,"python,python development,open source,scripting,unix,automation,san,open",,,,,,
Python Developer,TechVantage,Trivandrum/Thiruvananthapuram,Not disclosed,3-8 Yrs,https://www.naukri.com/job-listings-python-developer-techvantage-systems-private-limited-trivandrum-thiruvananthapuram-3-to-8-years-010223501375,Preferred Skills: What skills do you need .,"python,backend,front,powershell,software,devops,end,debugging",,,,,,
Python Developer,Streams Informatics,Mohali,Not disclosed,2-4 Yrs,https://www.naukri.com/job-listings-python-developer-harmony-data-integration-technologies-mohali-2-to-4-years-270423904331,We are looking for a talented Python developer with a minimum of 2 years of experience ...,"Python,css,javascript,backend development,data,python development,cloud computing,html",,,,,,
Python Developer,Kissflow,Chennai,Not disclosed,3-6 Yrs,https://www.naukri.com/job-listings-python-developer-kissflow-chennai-3-to-6-years-270323502252,. Should be methodical in their approach to design development,"web application development,development,design development,python development,design,web application,web technologies,web development",,,,,,
Python Developer,Recruitment Smart Technologies India Private Limited,Ahmedabad,Not disclosed,4-10 Yrs,https://www.naukri.com/job-listings-python-developer-recruitment-smart-technologies-india-private-limited-ahmedabad-4-to-10-years-260423502090,Good problem-solving skills,"data,program,hp data protector,side,end,front,python development,programming",,,,,,
Python Developer,Loginsoft,Hybrid - Hyderabad/Secunderabad,Not disclosed,5-10 Yrs,https://www.naukri.com/job-listings-python-developer-loginsoft-hyderabad-secunderabad-5-to-10-years-240423001327,Experience in web application development using Core Python and Django/Flask.Proficient...,"Python,development,django,python development",,,,,,
Python Developer,SureEvents,Kochi/Cochin,Not disclosed,3-5 Yrs,https://www.naukri.com/job-listings-python-developer-sureevents-kochi-cochin-3-to-5-years-240223501691,". Must have good analytical and problem solving skills, debugging skills, be able to ex...","python,postgresql,analytical,mongodb,analytics,json,debugging,rdbms",,,,,,
Python Developer,Codeglo Technologies,Chennai,Not disclosed,4-7 Yrs,https://www.naukri.com/job-listings-python-developer-codeglo-chennai-4-to-7-years-230323502359,Able to create database schemas that represent and support business processes . Profici...,"oops,object oriented programming,development,python,customer support,programming,san,front",,,,,,
Python Developer,Aynsoft Inc,New Delhi,Not disclosed,1-4 Yrs,https://www.naukri.com/job-listings-python-developer-aynsoft-inc-new-delhi-1-to-4-years-220323500931,Bachelor s degree in Computer Science or a related fieldProven experience as a Python D...,"analytics,analytical,development,django,application software,python development,computer,computer science",,,,,,
Python Developer,Samcom Technobrains,Ahmedabad,Not disclosed,1-4 Yrs,https://www.naukri.com/job-listings-python-developer-samcom-technobrains-ahmedabad-1-to-4-years-210423501566,"Team spirit . Good problem-solving skills . BSc in Computer Science, Engineering or rel...","css,javascript,end,postgresql,mysql,front,python development,front end",,,,,,
Python Developer,Integra Global Solutions,Coimbatore,Not disclosed,3-5 Yrs,https://www.naukri.com/job-listings-python-developer-integra-global-solutions-corp-coimbatore-3-to-5-years-200223502873,"Interested in working with engineering team to design, code, train, test & deploy on en...","computer,vision,coding,computer vision,c++,analytics,sdlc,source",,,,,,
Data Analyst,Brillio,Bangalore/Bengaluru,Not disclosed,0-2 Yrs,https://www.naukri.com/job-listings-data-analyst-brillio-bangalore-bengaluru-0-to-2-years-160523006352,"Born digital in 2014, we apply Customer Experience Solutions, Data Analytics and AI, Di...","db,cloud,sql,data,product engineering,modeling,pyspark,analysis",,,,,,
Knowledge Data Analyst,SAP,Bangalore/Bengaluru,Not disclosed,4-6 Yrs,https://www.naukri.com/job-listings-knowledge-data-analyst-sap-labs-india-pvt-ltd-bangalore-bengaluru-4-to-6-years-180523906395,. ROLE REQUIREMENT: . In-depth knowledge of and experience with the KCS methodology is ...,"Coveo,power bi,search engine,salesforce,searching,data analytics,cms,project management",,,,,,
Data Analyst,Clarivate,Bangalore/Bengaluru,Not disclosed,3-4 Yrs,https://www.naukri.com/job-listings-data-analyst-clarivate-analytics-bangalore-bengaluru-3-to-4-years-190523500728,". Post-undergraduate studies, graduate studies in a quantitative or medical discipline ...","qualitative,data validation,healthcare,analytical,data analytics,research,sql,data analysis",,,,,,
Data Analyst,Techintelli Solutions,"Hybrid - Noida, Uttar Pradesh, Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka",Not disclosed,0-2 Yrs,https://www.naukri.com/job-listings-data-analyst-techintelli-solutions-noida-uttar-pradesh-hyderabad-secunderabad-telangana-bangalore-bengaluru-karnataka-0-to-2-years-180523009703,"Required Skill Set: . Proficiency in Excel and advanced Excel functions (e.g., pivot ta...","Communication Skills,data,sql,data manipulation,modeling,cloud,critical care,data extraction",,,,,,
Data Analyst,The Times Group,Bangalore/Bengaluru,Not disclosed,3-8 Yrs,https://www.naukri.com/job-listings-data-analyst-the-times-group-bangalore-bengaluru-3-to-8-years-230523009013,"Technical Skills (must): . Advanced SQL (Databases: Google Big Query, Redshift, MapR Hi...","Data analysis,Machine,Data,Analysis,Machine learning",,,,,,
Data Analyst,Tata Consultancy Services (TCS),"Chennai, Bangalore/ Bengaluru, Karnataka",Not disclosed,5-10 Yrs,https://www.naukri.com/job-listings-data-analyst-tata-consultancy-services-tcs-chennai-bangalore-bengaluru-karnataka-5-to-10-years-230523010014,Greetings from TCS!Job Title: Data Analyst Location : Chennai/Bengaluru Experience : 5+...,"Data Mapping,Reporting tools,Modeling,Data modeling,Data analysis,Tools,Data,Reporting",,,,,,
Data Analyst,ANZ,Bangalore/Bengaluru,Not disclosed,4-6 Yrs,https://www.naukri.com/job-listings-data-analyst-anz-support-services-india-pvt-ltd-bangalore-bengaluru-4-to-6-years-220523501392,The role will be required to be Google Data Analytics certified (Preferred) or equivale...,"improvement,data,data analysis,automation,continuous improvement,sql,process,bfsi",,,,,,
Data Analyst,Intelligent Image Management,"Kolkata, West Bengal",Not disclosed,0-2 Yrs,https://www.naukri.com/job-listings-data-analyst-intelligent-image-management-kolkata-west-bengal-0-to-2-years-190523004653,Minimum education qualification H.S,"data entry,process,data analysis,data,data verification,verification,analysis,data processing",,,,,,
Data Analyst,HCLTech,Hybrid - Delhi / NCR,Not disclosed,3-6 Yrs,https://www.naukri.com/job-listings-data-analyst-hcltech-delhi-ncr-3-to-6-years-100523006381,"Must be able to perform successfully in a fast-paced, intellectually intense, service-o...","data analytics,Tableau,power bi,bi,marketing analytics,advanced excel,data analysis,data visualization",,,,,,
Data Analyst -Trading,Cargill,Gurgaon/Gurugram,Not disclosed,3-5 Yrs,https://www.naukri.com/job-listings-data-analyst-trading-cargill-india-pvt-ltd-gurgaon-gurugram-3-to-5-years-230523502129,Minimum Qualifications . Bachelors degree in a related field or equivalent experience ....,"Data Visualization,Analytical,Trading,Programming,Application programming,Commodity trading,Warehouse,Program",,,,,,
Excellent opportunity For Data Analysts | Gurgaon,KPMG India,"Gurgaon/ Gurugram, Haryana",Not disclosed,3-8 Yrs,https://www.naukri.com/job-listings-excellent-opportunity-for-data-analysts-gurgaon-kpmg-india-gurgaon-gurugram-haryana-3-to-8-years-190523003995,Should be on top of the numbers and work with the business team to ensure correct reven...,"advanced ms excel,data analytics,Global Reporting,Working Capital Management,business planning,microsoft,data,working capital",,,,,,
Data Analyst,Aranca,Mumbai(Powai),"50,000-1.75 Lacs PA",0-2 Yrs,https://www.naukri.com/job-listings-data-analyst-aranca-mumbai-0-to-2-years-150523004003,Maintenance of relevant record / logs / timesheet as required by management and for MIS...,"Advanced Excel,analysis,data,excel,data analysis,communication skills",,,,,,
Data Analyst,Collinson,Remote,Not disclosed,3-5 Yrs,https://www.naukri.com/job-listings-data-analyst-collinson-mumbai-all-areas-3-to-5-years-180523008424,Collinson Collinson is a global loyalty and benefits company.We use our expertise and ...,"data analytics,data analysis,data,tableau,analytics",,,,,,
Data Analyst,Artech,"Bangalore/ Bengaluru, Karnataka",7-17 Lacs PA,5-8 Yrs,https://www.naukri.com/job-listings-data-analyst-artech-bangalore-bengaluru-karnataka-5-to-8-years-230523003606,"Review existing documents, replicate the business rules for data analysis. Desired Cand...","Oracle plsql,R,data analysis,unix shell scripting,R Shiny,shell scripting,unix,plsql",,,,,,
Data Analyst,Crescendo Global Leadership Hiring India,"Hybrid - Pune, Maharashtra, Mumbai (All Areas)",7-14 Lacs PA,4-6 Yrs,https://www.naukri.com/job-listings-data-analyst-crescendo-global-leadership-hiring-india-pune-maharashtra-mumbai-all-areas-4-to-6-years-200523003652,for a confidential discussion on the role. . Disclaimer: Crescendo Global is an ISO 900...,"Data Analytics,Python,analytics,data analysis,data,analysis",,,,,,
Data Analyst,Talent Sketchers,"Pune, Maharashtra",Not disclosed,5-10 Yrs,https://www.naukri.com/job-listings-data-analyst-talent-sketchers-pune-maharashtra-5-to-10-years-180523009599,Roles and Responsibilities . Must Have : Power BiGood Communication Skills Good To have...,"Data Analytics,r,sql,analysis,python,data,analytics,ssms",,,,,,
Data Analyst - FinTech,Primo Hiring,"Noida, Ghaziabad, Faridabad, Gurgaon/Gurugram, Delhi / NCR",Not disclosed,1-3 Yrs,https://www.naukri.com/job-listings-data-analyst-fintech-primo-hiring-noida-ghaziabad-faridabad-gurgaon-gurugram-delhi-ncr-1-to-3-years-070423904210,Previous experience in data analysis. . - Ability to assess potential risks and work wi...,"data analysis,analytics,data,analysis,data analytics,spss,fintech,data mining",,,,,,
Data Analyst - Insurance,Serving Skill,Mumbai,Not disclosed,1-6 Yrs,https://www.naukri.com/job-listings-data-analyst-insurance-serving-skill-mumbai-1-to-6-years-060423905165,Should be working in SAS . - Good knowledge in Advance Excel,"Excel,insurance,data analytics,sql,data,analytics,data analysis,sas",,,,,,
Data Analyst,Acurus,Chennai,3.5-4 Lacs PA,0-3 Yrs,https://www.naukri.com/job-listings-data-analyst-acurus-solutions-pvt-ltd-chennai-0-to-3-years-090523004850,*Knowledge of MYSQL *Data abstraction from primary and secondary sources using ETL Tool...,"Data Analytics,SQL,data,data analysis,analytics",,,,,,
Data Analyst,Aon,"Hybrid - Bangalore/Bengaluru, Delhi / NCR",Not disclosed,6-9 Yrs,https://www.naukri.com/job-listings-data-analyst-aon-bangalore-bengaluru-delhi-ncr-6-to-9-years-300123010205,Bachelors degree or equivalent work experience required Ability to handle projects with...,"Alteryx,Tableau,sql,data analysis,data,analysis",,,,,,
Data Analyst,ANZ,Bangalore/Bengaluru,Not disclosed,4-6 Yrs,https://www.naukri.com/job-listings-data-analyst-anz-banking-group-bangalore-bengaluru-4-to-6-years-200523500768,The role will be required to be Google Data Analytics certified (Preferred) or equivale...,"data analysis,process,continuous improvement,data,oracle,monitoring,automation,scheduling",,,,,,
Data Analyst,Wonderla Holidays,Bangalore/Bengaluru,2.25-4 Lacs PA,3-6 Yrs,https://www.naukri.com/job-listings-data-analyst-wonderla-holidays-bangalore-bengaluru-3-to-6-years-170523006750,"Bachelors degree in a quantitative field such as statistics, mathematics, computerExper...","Data Cleansing,Data Mining,SQL Azure,data visualization,set,sql,data,data extraction",,,,,,
Data Analyst,Aon,"Hybrid - Bangalore/Bengaluru, Delhi / NCR",Not disclosed,6-9 Yrs,https://www.naukri.com/job-listings-data-analyst-aon-bangalore-bengaluru-delhi-ncr-6-to-9-years-130223006774,Bachelors degree or equivalent work experience required Ability to handle projects with...,"data analysis,Alteryx,SQL,data,tableau,analysis",,,,,,
Data Analyst,Diverse Lynx,Bangalore/Bengaluru,Not disclosed,1-5 Yrs,https://www.naukri.com/job-listings-data-analyst-diverse-lynx-bangalore-bengaluru-1-to-5-years-100523502936,"Managing master data, including creation, updates, and deletion. Managing users and use...","data mining,regression,data,data analysis,sas,statistics,python,data analytics",,,,,,
Data Analyst,Xoom,Hyderabad/Secunderabad,Not disclosed,0-2 Yrs,https://www.naukri.com/job-listings-data-analyst-xoom-inc-hyderabad-secunderabad-0-to-2-years-160523501406,"Experience working with product and engineering is a plus . Bachelors Degree required, ...","processing,analysis,epc,data,payment processing,partnerships,payments,sql",,,,,,
Data Analyst,"Medopharm Pvt Ltd.,",Guduvanchery,Not disclosed,0-2 Yrs,https://www.naukri.com/job-listings-data-analyst-medopharm-pvt-ltd-guduvanchery-0-to-2-years-090523008365,The Candidate having minimum one or two years experience in data analysis dept. He poss...,"mis reporting,Data Analysis,presentation skills,communication skills,Interpersonal Skills,analysis,application,computer",,,,,,
Data Analyst,Thimblerr,Bangalore/Bengaluru,Not disclosed,1-3 Yrs,https://www.naukri.com/job-listings-data-analyst-thimblerr-bangalore-bengaluru-1-to-3-years-220523500381,5+ years of experience in the capacity of a Data Analyst / Business Analyst . Education...,"analytics,data analysis,stakeholder management,data,selenium,marketing,research,supply chain",,,,,,
Data Analyst,IntraEdge Technology,"Temp. WFH - Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Bangalore/Bengaluru",5-15 Lacs PA,7-12 Yrs,https://www.naukri.com/job-listings-data-analyst-intraedge-technology-pune-maharashtra-gurgaon-gurugram-haryana-bangalore-bengaluru-7-to-12-years-230523009774,"Bachelor / Masters degree in Computer Science, Management of Information Systems or equ...","Regulatory Reporting,Banking,UAT,Data Warehousing,SQL,Reporting,Regulatory,Agile",,,,,,
Hiring For Data Analyst @ Medanta Gurgaon,Medanta,"Gurgaon/ Gurugram, Haryana",2.5-3.25 Lacs PA,2-5 Yrs,https://www.naukri.com/job-listings-hiring-for-data-analyst-medanta-gurgaon-medanta-gurgaon-gurugram-haryana-2-to-5-years-230523004515,". Bachelors degree in health information system, Mathematics, or relevant field. . A mi...","hiring,data,data analysis,Data Analyst",,,,,,
Data Analyst,F5 Web Solutions,Hyderabad/Secunderabad,Not disclosed,1-4 Yrs,https://www.naukri.com/job-listings-data-analyst-f5-web-solutions-hyderabad-secunderabad-1-to-4-years-220523500085,Experience with building and deploying machine learning models on large-scale dataExper...,"python,data analysis,machine,data science,science,data,web technologies,engineering",,,,,,
Data Analyst,Harita Techserv,Hosur,Not disclosed,0-5 Yrs,https://www.naukri.com/job-listings-data-analyst-harita-techserv-hosur-0-to-5-years-180423003444,Experience - Fresher to 1+ years,"data analyst,data analysis,cloud,monitoring,data ingestion,azure cloud,cloud services,data lake",,,,,,
Data Analyst | FMCG MNC | Bangalore | WFO,Macrohire,"Bangalore/ Bengaluru, Karnataka",Not disclosed,2-4 Yrs,https://www.naukri.com/job-listings-data-analyst-fmcg-mnc-bangalore-wfo-macrohire-bangalore-bengaluru-karnataka-2-to-4-years-240523005958,Should be collaborative,"dms,Dm,Warehouse,Data analysis,Wfo,Data,Dataproc,Analysis",,,,,,
Data Analyst,Atlas Engineering And Inspection Services,Remote,Not disclosed,3-8 Yrs,https://www.naukri.com/job-listings-data-analyst-atlas-engineering-and-inspection-services-new-delhi-3-to-8-years-150523003270,"Experience with cloud based data technologies, such as AWS Redshift or GCP BigQuery or ...","Redshift Aws,data integration tools,Looker,data visualization,tools,data analysis,data,power bi",,,,,,
Data Analyst,Prithvi Technologies,Remote,Not disclosed,5-10 Yrs,https://www.naukri.com/job-listings-data-analyst-prithvi-technologies-pune-5-to-10-years-090523007250,"Requirements: . Bachelors degree in a related field, such as Mathematics, Statistics, C...","Qlicksence,data analysis,Data Analytics,Data Reporting,sql,analysis,data,reporting",,,,,,
Data Analyst,Cedcoss Technologies,"Lucknow, Uttar Pradesh",Not disclosed,4-9 Yrs,https://www.naukri.com/job-listings-data-analyst-cedcoss-technologies-lucknow-uttar-pradesh-4-to-9-years-240523004190,-Work closely with leadership and department personnel to understand and maintain focus...,"Data Analysis,KPI analysis,Extraction,Data Reporting,Data Cleansing,Data analytics,KPI,Data collection",,,,,,
Data Analyst,Cognizant,"Chennai, Tamil Nadu",Not disclosed,3-8 Yrs,https://www.naukri.com/job-listings-data-analyst-cognizant-chennai-tamil-nadu-3-to-8-years-190523007002,Environment : Data Analyst. Role: Developer . Desired Experience Range: 3 to 15 Years ....,"SQL,data mining,cleansing,data profiling,data cleansing,data,data analysis,profiling",,,,,,
SQL+ Azure Data Analyst,Capgemini,Gurgaon/Gurugram,Not disclosed,4-6 Yrs,https://www.naukri.com/job-listings-sql-azure-data-analyst-capgemini-technology-services-india-limited-gurgaon-gurugram-4-to-6-years-180523910607,. Troubleshoot complex data related issues escalated from Tier . . SQL Server 2014 / 16...,"Data analysis,Business intelligence,Analytics,SQL,Data management,power bi,intelligence,hive",,,,,,
Data Analyst I,Aon,Gurgaon/Gurugram,Not disclosed,4-6 Yrs,https://www.naukri.com/job-listings-data-analyst-i-aon-gurgaon-gurugram-4-to-6-years-170523908933,Improve the overall quality and consistency of the GI Core Release process by ensuring ...,"data analysis,sql,data mining,data,writing,analysis,excel",,,,,,
Data Analyst I,Aon,Gurgaon/Gurugram,Not disclosed,4-6 Yrs,https://www.naukri.com/job-listings-data-analyst-i-aon-gurgaon-gurugram-4-to-6-years-170523908890,Improve the overall quality and consistency of the GI Core Release process by ensuring ...,"data analysis,analysis,data mining,sql,data,excel",,,,,,
Data Analyst,GM Analytics Solutions,Gurgaon/Gurugram,Not disclosed,2-5 Yrs,https://www.naukri.com/job-listings-data-analyst-gm-analytics-solutions-gurgaon-gurugram-2-to-5-years-130223005012,Roles and Responsibilities : Quickly builds a working knowledge of companys core analyt...,"data analytics,SQL,HL7,Azure Functions,Microsoft Sql Server Database,sdlc,tsql development,development",,,,,,
Data Analyst,Creditas Solutions,Gurgaon/Gurugram,Not disclosed,1-2 Yrs,https://www.naukri.com/job-listings-data-analyst-creditas-solutions-gurgaon-gurugram-1-to-2-years-120523000030,"Bachelors or Masters Degree in Engineering or StaPro ciency in SQL, Python, and Microso...","analy - solving,tools,data analytics,data analysis,data,analysis,analytics",,,,,,
Data Analyst (Delhi NCR),TechBlocks,"Hybrid - New Delhi, Delhi / NCR",Not disclosed,6-10 Yrs,https://www.naukri.com/job-listings-data-analyst-delhi-ncr-techblocks-new-delhi-delhi-ncr-6-to-10-years-090523005444,What Were Looking For: . Education: Bachelors or masters degree in a quantitative field...,"Power Bi,Data Analysis,mysql,aws,etl process,data analytics,glue,process",,,,,,
Data Analyst,Selective Global Search,Faridabad,3-5.5 Lacs PA,2-6 Yrs,https://www.naukri.com/job-listings-data-analyst-selective-global-search-faridabad-2-to-6-years-150523006270,"Skill Required : . MS Office (Excel, PowerPoint, office, word). Technical writing skill...","Data Analytics,data reporting,reporting,data analysis,data,analysis,analytics,data management",,,,,,
Data Analyst,Independent Consultants,Remote,14-16 Lacs PA,10-13 Yrs,https://www.naukri.com/job-listings-data-analyst-independent-consultants-delhi-ncr-10-to-13-years-130523006042,"Roles and Responsibilities Data Analyst , It's work from home long term projectsDesired...","data extraction,Data Quality,data analysis,data analytics,Data,analytics,data visualization,analysis",,,,,,
Data Analyst,Collinson Loyalty Benefits Private Limited,Mumbai,Not disclosed,2-4 Yrs,https://www.naukri.com/job-listings-data-analyst-collinson-loyalty-benefits-private-limited-mumbai-2-to-4-years-230523501468,You will work with data from diverse structured and unstructured data sources in both b...,"Agile,Consulting,Data,Engagement,Analytics,Apache,Customer engagement,Finance",,,,,,
Data Analyst,Menko Online Trading,Jaipur,2.75-5.5 Lacs PA,2-5 Yrs,https://www.naukri.com/job-listings-data-analyst-menko-online-trading-jaipur-2-to-5-years-240223005433,"Minimum 2 + year of relevant work experienceExperience in a highly analytical, results-...","Helium10,Google Analytics,Power Bi,Data Analysis,Amazon,pdca,ebay,analysis",,,,,,
Data Analyst,Nlineaxis It Solutions,Jaipur,Not disclosed,2-5 Yrs,https://www.naukri.com/job-listings-data-analyst-nlineaxis-it-solutions-jaipur-2-to-5-years-230523500493,Experience - 2-5 Years . Work experience as a data analyst or in a related fieldHigh-le...,"Report generation,Quality management,Data,Data Cleansing,Quality,Assurance,Data mining,Reporting",,,,,,
Data Analyst - Pune,Pharmarack Technologies,"Pune, Maharashtra",7-11 Lacs PA,1-3 Yrs,https://www.naukri.com/job-listings-data-analyst-pune-pharmarack-technologies-pune-maharashtra-1-to-3-years-230523009607,BE - From Top Ranked Colleges only . Only Pune based candidates need to apply Candidate...,"SQL,Data analysis,Data,Python",,,,,,
Data Analyst,Youth4 Talent Solutions And Services,Mumbai,Not disclosed,3-6 Yrs,https://www.naukri.com/job-listings-data-analyst-youth4-talent-solutions-and-services-mumbai-3-to-6-years-230123909388,Readiness to roll up sleeves when required,"Data Analysis,Google Analytics,Application,Tableau,Clevertap,Excel,Data,Analytics",,,,,,
Data Analyst,Guidewire Software,Chennai,Not disclosed,3-8 Yrs,https://www.naukri.com/job-listings-data-analyst-guidewire-software-inc-chennai-3-to-8-years-220523500675,Willingness and curiosity to learn new technologies and adapt to changing requirements ...,"genetics,application programming,version control,data quality,application,research,computer science,control",,,,,,
Data Analyst,K20s - Kinetic Technologies,Mumbai,Not disclosed,3-7 Yrs,https://www.naukri.com/job-listings-data-analyst-k20s-kinetic-technologies-private-limited-mumbai-3-to-7-years-220523500339,Looker experience must (Candidate must have practically worked on SQL for at least 1-2 ...,"sas,statistics,sql,data analysis,data,analysis,Statistical analysis,Data Analyst",,,,,,
Data Analyst - Jaipur,Kogta,Jaipur,Not disclosed,2-5 Yrs,https://www.naukri.com/job-listings-data-analyst-jaipur-kogta-financial-india-ltd-jaipur-2-to-5-years-220523001823,Responsible for the updating and maintenance of all MIS and reports as requiredCommand ...,"excel,conditional formatting,mis reporting,mis updation,verification,pivot,collections,tables",,,,,,
Data Analyst,Wilco Source,"Hybrid - Hyderabad/Secunderabad, Chennai",12-22 Lacs PA,6-11 Yrs,https://www.naukri.com/job-listings-data-analyst-wilco-source-hyderabad-secunderabad-chennai-6-to-11-years-160523004023,"Experience: 5+ Yrs in Relevant Experience w/ SQL databases, database schemas, HL7 and J...","HL7,JSON,data analyst,Data analysis,Data,SQL,DBMS,Schema",,,,,,
